Nazwa firmy,Tytuł oferty,Kategoria,Poziom doświadczenia,Umiejętności,Mile widziane umiejętności,Czas pracy,Typ miejsca pracy,Typ umowy,Widełki finansowe [PLN],Wynagrodzenie brutto,Województwo,Miasto,Ulica,Otwarte dla obywateli Ukrainy,Zdalna rozmowa kwalifikacyjna,Data publikacji oferty
Crestt,Senior Backend Java Developer / Architekt,6,senior,"GitLab, Java, Jenkins, Microservices, Oracle, RabbitMQ, Spring Boot",,full_time,office,B2B,23520.0-28560.0,False,mazowieckie,Warszawa,Ochota,False,True,2025-03-03 07:45:14.524000+00:00
Experis Manpower Group,Software Engineer (Android SDK + Kotlin),10,senior,"Android SDK, English, Kotlin, Kotlin Flows and Coroutines, Linux",,full_time,remote,B2B,23520.0-30240.0,False,łódzkie,Łódź,Centrum,False,True,2025-03-01 11:00:10.484000+00:00
VlogIT,Programista PHP,3,mid,"MySQL, Symfony",,full_time,hybrid,B2B,10000.0-14000.0,False,kujawsko-pomorskie,Toruń,Centrum,False,False,2025-03-01 11:00:10.484000+00:00
Square One Resources,Business Analyst - Application Consultant,24,mid,"ERP, Supply Chain, WMS, logistics",,full_time,hybrid,B2B,10000.0-15000.0,False,mazowieckie,Warszawa,Puławska 2,False,False,2025-03-01 11:00:10.484000+00:00
Reply Polska Sp. z o. o.,Mid/Senior Test Engineer with Playwright (B2B),11,mid,Playwright,,full_time,hybrid,B2B,13000.0-20000.0,False,śląskie,Katowice,Wrocławska 54,False,False,2025-03-01 11:00:10.484000+00:00
BigTime,Quality Assurance Engineer,11,senior,"Cucumber, Cypress, JMeter, Jenkins, Postman, Selenium, Swagger",,full_time,hybrid,B2B,15000.0-20000.0,False,dolnośląskie,Wrocław,Legnicka 48A,False,False,2025-03-01 11:00:10.484000+00:00
Rumble Fish Software Development,Angular Developer,1,mid,"Angular, English, GraphQL, Nx morengo, PrimeNG, RxJS, TypeScript",,full_time,hybrid,B2B,10000.0-16000.0,False,małopolskie,Kraków,Filipa Eisenberga 11/3,False,False,2025-03-01 11:00:10.484000+00:00
SoftForYou,Senior Data Engineer,19,senior,"Airflow, Data Integration, Data Science, Data modeling, Python, SQL",,full_time,remote,B2B,15000.0-22000.0,False,łódzkie,Poland (Remote),Onlline,False,True,2025-03-01 11:00:10.484000+00:00
Reply Polska Sp. z o. o.,Junior Business Analyst (UoP),17,junior,"Business Analysis, English, Salesforce",,full_time,hybrid,Permanent,5000.0-9000.0,True,śląskie,Katowice,Wrocławska 54,False,False,2025-03-01 11:00:10.484000+00:00
Connectis,Test Coordinator HP ALM,11,senior,"HP ALM, Jira, TestLink",,full_time,hybrid,B2B,21000.0-24000.0,False,mazowieckie,Warszawa,Chmielna 71,False,False,2025-03-01 11:00:10.484000+00:00
Tesco Technology,Senior Data Engineer,19,senior,"Apache Spark, GitHub, Hive, Kafka, Kubernetes, Python, Scala",,full_time,hybrid,B2B,26000.0-40000.0,False,małopolskie,Kraków,Przy Rondzie 4,True,True,2025-03-01 11:00:10.484000+00:00
Experis Manpower Group,Data Management Analyst,19,mid,"Data Management, Data Quality, English, Master Data Management, OTC, SAP, Salesforce, Supply Chain",,full_time,remote,Permanent,7200.0-9000.0,True,dolnośląskie,Wrocław,Swobodna 1,False,True,2025-03-01 11:00:10.484000+00:00
Experis Manpower Group,Data Engineer (Google Cloud),19,senior,"Apache Spark, English, Google Cloud Platform, Python, SQL, Terraform",,full_time,remote,B2B,28560.0-30240.0,False,łódzkie,Łódź,Łódź,False,True,2025-03-01 11:00:10.484000+00:00
N7 Mobile,Backend Engineer (Python) 💻,5,senior,"Django, Docker, Elixir, Front-End, Golang, Kubernetes, Python, fastapi, httpx",,full_time,hybrid,B2B,18480.0-25200.0,False,mazowieckie,Warszawa,Puławska 182,False,False,2025-03-01 11:00:10.484000+00:00
Experis Manpower Group,Junior Master Data Analyst,19,junior,"Data Management, Data Quality, English, MS Excel, SAP, Salesforce, master data",,full_time,hybrid,Permanent,6000.0-7200.0,True,dolnośląskie,Wrocław,Swobodna 1,False,False,2025-03-01 11:00:10.484000+00:00
Experis Manpower Group,AI Engineer,25,senior,"AI, GenAI, LLM, ML, Python",,full_time,remote,B2B,26880.0-33600.0,False,łódzkie,Łódź,Łódź,False,True,2025-03-01 11:00:10.484000+00:00
emagine Polska,ML Engineer,25,senior,"Airflow, Azure DevOps, CI/CD, ETL, Python, SQL, Spark Cluster",,freelance,remote,B2B,26880.0-27720.0,False,mazowieckie,Warszawa,,False,True,2025-03-01 11:00:10.484000+00:00
Harvey Nash Technology,Senior UI Engineer,1,senior,"CSS, HTML, JavaScript, React, Redux, RxJS, TypeScript, UI",,full_time,hybrid,Permanent,28000.0-33000.0,True,mazowieckie,Warszawa,Rondo ONZ,True,True,2025-03-01 11:00:10.484000+00:00
iTeamly,"QA Automation Engineer (JavaScript, Cypress)",11,senior,"Cypress, English, JavaScript, Node.js, Postman, QA",,full_time,remote,B2B,17000.0-28000.0,False,małopolskie,Kraków,Armii Krajowej,False,True,2025-03-01 11:00:10.484000+00:00
emagine Polska,Analityk Biznesowo-Systemowy,17,mid,"Agile, Analytics, BPMN, Business Analysis, English, REST, Scrum, UML",,full_time,hybrid,B2B,21840.0-21840.0,False,mazowieckie,Warszawa,,False,False,2025-03-01 11:00:10.484000+00:00
SCALO,Microsoft D365 CE Architect,23,senior,"Microsoft Azure, Microsoft Azure Cloud, REST, React, Terraform",,full_time,remote,B2B,27000.0-30000.0,False,mazowieckie,Warszawa,Aleje Jerozolimskie 100,False,False,2025-03-01 11:00:10.484000+00:00
Experis Manpower Group,Cloud Oracle Fusion ERP Solution Architect – Lead,22,senior,"Leadership full-cycle implementations, Oracle EBS Finance, Oracle ERP Fusion Finance",,full_time,remote,B2B,27200.0-30400.0,False,dolnośląskie,Wrocław,.,False,True,2025-03-01 11:00:10.484000+00:00
Experis Manpower Group,Cloud Oracle Fusion ERP – Senior Consultant,22,senior,"Oracle EBS Finance, Oracle Fusion Cloud ERP, client-facing delivery roles",,full_time,remote,B2B,24000.0-27200.0,False,dolnośląskie,Wrocław,.,False,True,2025-03-01 11:00:10.484000+00:00
GoSolve,Senior Fullstack Engineer (Python + React),5,senior,"Django, GCP, GraphQL, Python, React, gRPC",,full_time,remote,B2B,23000.0-27000.0,False,mazowieckie,Warszawa,.,True,True,2025-03-01 11:00:10.484000+00:00
BNP Paribas Group Service Center S.A.,Specjalista ds. MS SQL,22,mid,"C#, English, MS SQL, T-SQL",,full_time,hybrid,Permanent,6000.0-14000.0,True,mazowieckie,Warszawa,Grzybowska 78,False,True,2025-03-01 11:00:10.484000+00:00
Square One,Data Scientist,5,mid,"Databricks, Git, Machine Learning, PySpark, Python, SQL",,full_time,remote,B2B,15000.0-21800.0,False,mazowieckie,Warszawa,Remote,True,True,2025-03-01 11:00:10.484000+00:00
Motorola Solutions,Full-Stack Developer (Angular/C++),9,mid,"Angular, C++, English, JavaScript, TypeScript",,full_time,hybrid,Permanent,10000.0-20000.0,True,małopolskie,Kraków,Czerwone Maki 82,False,True,2025-03-01 11:00:10.484000+00:00
Antal Sp. z o.o.,Full stack Developer,6,senior,"Java, JavaScript, React",,full_time,hybrid,B2B,170.0-200.0,False,małopolskie,Kraków,Centrum,False,False,2025-03-01 11:00:10.484000+00:00
Harvey Nash Technology,Senior QA Engineer,11,senior,"Automated Testing, Automation Tools, CI/CD, Java, Kotlin, REST, Selenium",,full_time,remote,B2B,20000.0-26000.0,False,mazowieckie,Warszawa,Rondo ONZ,False,True,2025-03-01 11:00:10.484000+00:00
Coffee Mug,Business Analyst,17,senior,"English, business analyst",,full_time,remote,B2B,16000.0-25000.0,False,śląskie,Katowice,Porcelanowa 23,False,True,2025-03-01 11:00:10.484000+00:00
ITLT,Agile Coach,24,senior,"Green Belt, Lean, PSM, Scrum",,full_time,hybrid,B2B,16800.0-21840.0,False,mazowieckie,Warszawa,Taśmowa 7,False,True,2025-03-01 11:00:10.484000+00:00
Pretius,Tester manualny,11,junior,"Automated Testing, English, Testing",,full_time,remote,B2B,7560.0-10920.0,False,mazowieckie,Warszawa,Żwirki i Wigury 16A,False,True,2025-03-01 11:00:10.484000+00:00
Pretius,Java Developer,6,senior,"AWS Components, Docker, Elastic, English, Java, Kubernetes, NoSQL, PHP, Relacyjne Bazy Danych, Serverless",,full_time,remote,B2B,23520.0-30240.0,False,mazowieckie,Warszawa,Żwirki i Wigury 16A,False,True,2025-03-01 11:00:10.484000+00:00
Syberry,Senior DevOps Engineer,12,senior,"AWS, Amazon AWS, DevOps, English, Software Development",,full_time,remote,Any,25000.0-40000.0,True,małopolskie,Kraków,Krakusa 11,True,True,2025-03-01 11:00:10.484000+00:00
4 o'clock Interactive,Fullstack Web Developer,2,mid,"CSS, Easy Admin, Git, HTML, JavaScript, MySQL, PHP, REST API, Symfony",,full_time,remote,B2B,12000.0-15000.0,False,małopolskie,Kraków,"Ostatnia, 1c",True,True,2025-03-01 11:00:10.484000+00:00
ZEN.COM,Senior Frontend Software Engineer (Angular),1,senior,"Angular 14+, CSS, HTML, TypeScript",,full_time,remote,B2B,20000.0-25000.0,False,mazowieckie,Warszawa,,False,False,2025-03-01 11:00:10.484000+00:00
AUCTANE Poland,Data Engineer,19,mid,"AWS, Looker, Python, SQL, Tableau",,full_time,hybrid,Permanent,14000.0-23600.0,True,lubuskie,Zielona Góra,Kostrzyńska 4,False,True,2025-03-01 11:00:10.484000+00:00
ITLT,SAP ABAP Developer,22,senior,"Confluence, ERP, SAP HANA",,full_time,remote,B2B,24000.0-30000.0,False,małopolskie,Kraków,Bosaka 16,False,True,2025-03-01 11:00:10.484000+00:00
